4.70195,2.7263,13.0645,1.13,1.56,1.9,24.605,33.985,41.41,0.095,356.575,1
3.84215,2.8697,12.3605,0.95,1.375,1.455,25.165,36.36,38.48,0.075,342.54,1
3.4799,2.82,12.0125,0.92,1.265,1.255,26.685,36.805,36.51,0.06,311.18,1
3.7448,2.8018,12.2685,0.99,1.365,1.325,26.835,37.125,36.04,0.07,263.675,1
3.44975,2.84195,11.991,0.96,1.205,1.28,27.765,35.06,37.175,0.05,312.57,1
3.24735,2.75115,11.7455,0.855,1.165,1.225,26.29,36.01,37.695,0.055,276.89,1
3.7043,2.5936,11.946,0.92,1.32,1.44,25.01,35.84,39.16,0.07,124.32,1
3.49,2.6209,11.842,0.92,1.36,1.1,27.12,40.34,32.54,0.09,114,1
4.2544,2.9557,12.977,1,1.7,1.37,24.68,41.71,33.61,0.04,276.98,0
3.826,2.9674,12.639,0.92,1.59,1.17,24.93,43.2,31.88,0.05,310.06,0
3.8683,3.0272,12.794,0.91,1.69,1.16,24.26,44.87,30.87,0.03,214.16,0
4.2946,2.7911,12.891,0.88,1.6,1.64,21.4,38.74,39.86,0.12,486.3,1
5.0857,2.8187,13.686,1.25,2.03,1.66,25.37,41,33.63,0.1,153.65,0
3.09,2.6508,11.74,0.74,1.28,1.02,24.31,42.26,33.43,0.03,265.62,0
3.5443,2.9437,12.361,0.85,1.49,1.04,25.2,44.03,30.77,0.04,171.62,0
3.9786,2.9085,12.617,0.91,1.55,1.3,24.21,41.18,34.61,0.07,209.37,0
4.0188,2.682,12.012,0.88,1.41,1.45,23.55,37.75,38.7,0.04,217,0
4.4783,2.7537,12.6,0.98,1.54,1.63,23.62,37.04,39.34,0.06,275.77,0
2.4416,2.7575,10.475,0.56,0.83,0.9,24.41,36.31,39.28,0.02,231.51,0
4.3549,2.6953,12.345,0.95,1.54,1.57,23.5,37.86,38.64,0.06,223.66,0
4.4332,2.6368,12.37,0.98,1.62,1.52,23.83,39.22,36.95,0.03,230.94,0
2.1475,2.8314,10.35,0.46,0.73,0.84,22.89,35.81,41.3,0.02,242.4,0
2.2677,2.7883,10.414,0.5,0.8,0.86,23.09,37.07,39.84,0.01,266.87,0
4.0803,2.8417,12.293,0.87,1.38,1.6,22.58,35.87,41.55,0.06,358.84,0
1.6765,2.8565,9.967,0.34,0.56,0.67,21.71,35.53,42.75,0,263.98,0
4.2396,2.7488,12.326,0.86,1.47,1.63,21.86,37.05,41.09,0.05,324.4,0
3.4505,2.8123,11.574,0.76,1.26,1.23,23.35,38.82,37.83,0.02,201.01,0
5.5644,2.7579,13.552,1.18,2.1,1.9,22.7,40.53,36.77,0.06,189.97,0
2.1859,2.8868,10.398,0.47,0.81,0.76,23.11,39.79,37.09,-0.01,186.99,0
1.3555,2.9306,9.702,0.3,0.49,0.5,23.29,37.89,38.83,-0.01,175.68,0
2.9945,2.8851,11.168,0.63,1.12,1.07,22.33,39.76,37.92,0.01,167.38,0
3.0386,2.9568,11.344,0.68,1.16,1.02,23.59,40.68,35.73,0.02,183.59,0
2.4604,2.9581,10.721,0.53,0.95,0.84,22.78,41.18,36.04,0.01,160.41,0
3.1816,2.9898,11.455,0.69,1.22,1.08,23.1,40.82,36.07,0.03,159.76,0
3.6304,3.04685,12.0315,0.855,1.205,1.56,23.66,33.33,43.01,0.075,528.755,0
5.03085,2.67325,13.0625,1.125,1.605,2.255,22.61,32.21,45.18,0.105,282.61,0
4.2192,2.98825,12.634,0.83,1.305,1.945,20.31,32.04,47.65,0.13,492.205,0
3.67315,2.9126,12.1065,0.81,1.185,1.575,22.71,33.275,44.015,0.045,375.37,0
3.46285,3.10545,12.097,0.805,1.15,1.41,23.915,34.225,41.865,0.03,375.48,0
3.63155,3.24275,12.368,0.97,1.255,1.365,27.04,34.85,38.11,0.035,306.68,0
3.587,3.2309,12.427,0.91,1.27,1.335,25.86,36.125,38.015,0.045,317.7,0
3.8517,3.1439,12.541,1,1.33,1.46,26.31,35.25,38.44,0.05,324.29,0
3.166,3.1231,11.864,0.77,1.17,1.11,25.33,38.2,36.47,0.02,249.42,0
4.8499,2.7799,13.338,1.11,1.73,1.79,23.89,37.41,38.7,0.08,195.92,0
3.7217,2.9679,12.385,0.81,1.36,1.37,22.89,38.36,38.75,0.05,221.06,0
3.7517,2.9884,12.451,0.96,1.5,1.11,26.91,42.05,31.04,0.06,217.78,0
3.8438,2.9894,12.584,0.92,1.59,1.16,25.15,43.15,31.7,0.03,174.79,0
4.083,3.0197,12.848,1.04,1.75,1.18,26.14,44.14,29.72,0.06,110.75,0
3.4511,2.5975,11.719,0.88,1.24,1.31,25.59,36.13,38.28,0.05,299.11,0
3.7061,2.6807,12.22,0.93,1.36,1.27,26.12,38.21,35.67,0.1,256.15,0
