ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1739,5,45,60,4/23/16,SCRHeat,M1,3.7448,2.8018,4.67245,12.2685,8.5165,10.85,0.99,1.365,1.325,26.835,37.125,36.04,14.04,0.255,1.34,0.32,0.72,0.014,0.024,2.62,0.91,0.13,0.7,0.96,0.05,1502,0.07,0.09,263.675,7.05,TRUE
1739,5,48,60,4/23/16,SCRHeat,M1,3.44975,2.84195,4.65045,11.991,8.535,13.2,0.96,1.205,1.28,27.765,35.06,37.175,13.925,0.255,1.22,0.29,0.58,0.011,0.03,2.45,0.77,0.13,0.2,0.81,0.05,1484,0.05,0.085,312.57,7.025,TRUE
1739,5,49,60,4/23/16,SCRHeat,M1,3.24735,2.75115,4.7059,11.7455,8.4905,11.05,0.855,1.165,1.225,26.29,36.01,37.695,14.06,0.27,1.19,0.28,0.59,0.011,0.02,2.3,0.78,0.12,0.2,0.82,0.04,1531,0.055,0.075,276.89,6.93,TRUE
1739,5,50,60,4/23/16,SCRHeat,M1,3.7043,2.5936,4.6143,11.946,8.227,11.1,0.92,1.32,1.44,25.01,35.84,39.16,14.13,0.27,1.31,0.34,0.71,0.012,0.036,2.54,0.92,0.13,0.1,0.96,0.06,1639,0.07,0.07,124.32,6.82,TRUE
1739,5,64,60,4/23/16,SCRHeat,M1,3.49,2.6209,4.6895,11.842,8.341,12.1,0.92,1.36,1.1,27.12,40.34,32.54,13.99,0.25,1.35,0.24,0.65,0.005,0.015,2.47,0.8,0.08,0.7,0.84,0.02,1663,0.09,0.06,114,7.03,TRUE
1769,4,59,78,1/4/16,ObservedStandingHeat,M1,4.2544,2.9557,4.6932,12.977,8.721,9.6,1,1.7,1.37,24.68,41.71,33.61,14.13,0.24,1.62,0.37,0.86,0.007,0.026,2.93,1.04,0.09,0.6,1.08,0.03,1574,0.04,0.06,276.98,6.49,FALSE
1769,4,64,78,1/4/16,ObservedStandingHeat,M1,3.826,2.9674,4.7763,12.639,8.814,10.5,0.92,1.59,1.17,24.93,43.2,31.88,14.1,0.24,1.48,0.33,0.76,0.004,0.027,2.67,0.92,0.08,0.6,0.95,0.02,1646,0.05,0.08,310.06,6.28,FALSE
1769,4,80,78,1/4/16,ObservedStandingHeat,M1,3.8683,3.0272,4.8241,12.794,8.93,10.2,0.91,1.69,1.16,24.26,44.87,30.87,14.19,0.23,1.57,0.33,0.7,0.012,0.02,2.75,0.88,0.06,1.1,0.89,0.03,1478,0.03,0.04,214.16,6.61,FALSE
1794,5,60,64,11/20/16,Lut2,M1,4.2946,2.7911,4.7217,12.891,8.59,12.4,0.88,1.6,1.64,21.4,38.74,39.86,14.18,0.26,1.5,0.45,0.97,-0.007,0.03,2.82,1.13,0.11,0.7,1.25,0.01,1905,0.12,0.18,486.3,6.61,TRUE
1799,4,62,79,2/20/16,Lut2,M1,5.0857,2.8187,4.7154,13.686,8.594,8.5,1.25,2.03,1.66,25.37,41,33.63,14.04,0.2,1.93,0.5,0.94,0.008,0.032,3.6,1.14,0.11,0.5,1.18,0.04,1603,0.1,0.13,153.65,6.27,FALSE
